instance_id,tree_type,area_pixels,bbox_x,bbox_y,bbox_x2,bbox_y2,bbox_width,bbox_height,centroid_x,centroid_y
1,Tree - jenis belum teridentifikasi,1370,1239,721,1286,765,48,45,1264.18,742.87
2,Tree - jenis belum teridentifikasi,48,1412,817,1417,826,6,10,1414.52,822.04
3,Tree - jenis belum teridentifikasi,79,1559,858,1568,871,10,14,1564.14,863.32
4,Tree - jenis belum teridentifikasi,42,1571,863,1579,869,9,7,1575.12,865.64
5,Tree - jenis belum teridentifikasi,43,1617,877,1625,885,9,9,1621.65,880.47
6,Tree - jenis belum teridentifikasi,509,1405,868,1428,896,24,29,1415.99,883.34
7,Tree - jenis belum teridentifikasi,474,1556,875,1588,905,33,31,1569.1,887.9
8,Tree - jenis belum teridentifikasi,139,1589,879,1600,895,12,17,1594.9,887.33
9,Tree - jenis belum teridentifikasi,936,1517,865,1556,912,40,48,1540.89,890.95
10,Tree - jenis belum teridentifikasi,59,1614,891,1623,901,10,11,1619.0,896.9
11,Tree - jenis belum teridentifikasi,217,1583,902,1604,918,22,17,1593.52,910.83
12,Tree - jenis belum teridentifikasi,213,1554,909,1583,926,30,18,1569.41,917.08
13,Tree - jenis belum teridentifikasi,36,1616,914,1623,919,8,6,1619.31,916.47
14,Tree - jenis belum teridentifikasi,164,1543,920,1563,935,21,16,1553.18,926.05
15,Tree - jenis belum teridentifikasi,26,1620,928,1626,932,7,5,1622.96,929.85
16,Tree - jenis belum teridentifikasi,37,1536,933,1540,941,5,9,1537.68,936.84
17,Tree - jenis belum teridentifikasi,30,1586,937,1592,942,7,6,1589.17,939.47
18,Tree - jenis belum teridentifikasi,227,1975,929,1991,946,17,18,1983.42,938.1
19,Tree - jenis belum teridentifikasi,43,1544,933,1551,945,8,13,1546.91,940.14
20,Tree - jenis belum teridentifikasi,263,1974,953,1999,970,26,18,1986.82,961.69
21,Tree - jenis belum teridentifikasi,273,1958,954,1975,982,18,29,1968.59,968.97
22,Tree - jenis belum teridentifikasi,1329,1998,954,2047,995,50,42,2024.11,972.09
23,Tree - jenis belum teridentifikasi,381,1976,975,1998,1004,23,30,1986.35,991.35
