instance_id,tree_type,area_pixels,bbox_x,bbox_y,bbox_x2,bbox_y2,bbox_width,bbox_height,centroid_x,centroid_y
1,Tree - jenis belum teridentifikasi,32,881,7,885,14,5,8,882.88,9.97
2,Tree - jenis belum teridentifikasi,1101,1182,0,1246,26,65,27,1209.33,10.09
3,Tree - jenis belum teridentifikasi,2429,1370,0,1513,29,144,30,1435.56,9.66
4,Tree - jenis belum teridentifikasi,224,1436,10,1456,27,21,18,1446.08,18.46
5,Tree - jenis belum teridentifikasi,12,1464,10,1464,21,1,12,1464.0,15.5
6,Tree - jenis belum teridentifikasi,229,1482,10,1504,23,23,14,1491.1,17.1
7,Tree - jenis belum teridentifikasi,118,1503,7,1518,18,16,12,1510.69,12.3
8,Tree - jenis belum teridentifikasi,1308,1617,0,1670,43,54,44,1648.57,18.09
9,Tree - jenis belum teridentifikasi,314,1233,3,1254,27,22,25,1244.44,14.66
10,Tree - jenis belum teridentifikasi,201,1515,7,1533,23,19,17,1526.26,16.15
11,Tree - jenis belum teridentifikasi,1418,1525,0,1583,47,59,48,1552.42,18.22
12,Tree - jenis belum teridentifikasi,132,635,17,649,29,15,13,642.57,22.57
13,Tree - jenis belum teridentifikasi,165,1761,17,1772,38,12,22,1767.37,26.95
14,Tree - jenis belum teridentifikasi,1326,1152,0,1187,47,36,48,1168.28,22.42
15,Tree - jenis belum teridentifikasi,339,1792,14,1819,33,28,20,1806.67,23.95
16,Tree - jenis belum teridentifikasi,350,1834,16,1857,41,24,26,1846.03,26.61
17,Tree - jenis belum teridentifikasi,260,1858,20,1881,36,24,17,1868.02,28.22
18,Tree - jenis belum teridentifikasi,783,397,0,427,47,31,48,410.14,26.64
19,Tree - jenis belum teridentifikasi,112,1220,22,1233,32,14,11,1225.85,26.92
20,Tree - jenis belum teridentifikasi,2186,1389,14,1458,66,70,53,1423.96,39.66
21,Tree - jenis belum teridentifikasi,182,1684,17,1706,33,23,17,1696.09,25.32
22,Tree - jenis belum teridentifikasi,113,656,24,669,33,14,10,662.27,28.14
23,Tree - jenis belum teridentifikasi,451,1182,24,1219,50,38,27,1201.57,35.32
24,Tree - jenis belum teridentifikasi,73,449,28,460,39,12,12,453.18,32.36
25,Tree - jenis belum teridentifikasi,745,1251,10,1282,59,32,50,1270.71,32.16
26,Tree - jenis belum teridentifikasi,170,1455,22,1471,38,17,17,1461.15,30.74
27,Tree - jenis belum teridentifikasi,33,706,33,712,39,7,7,708.91,36.0
28,Tree - jenis belum teridentifikasi,226,1492,22,1512,42,21,21,1502.05,32.9
29,Tree - jenis belum teridentifikasi,102,427,30,441,41,15,12,434.01,36.4
30,Tree - jenis belum teridentifikasi,393,1881,28,1910,46,30,19,1894.49,36.56
31,Tree - jenis belum teridentifikasi,151,991,32,1005,46,15,15,997.3,38.62
32,Tree - jenis belum teridentifikasi,59,1823,36,1835,43,13,8,1827.8,39.59
33,Tree - jenis belum teridentifikasi,83,1783,33,1796,43,14,11,1789.13,39.02
34,Tree - jenis belum teridentifikasi,56,624,37,630,46,7,10,627.36,40.91
35,Tree - jenis belum teridentifikasi,134,464,34,479,46,16,13,471.31,40.19
36,Tree - jenis belum teridentifikasi,53,537,37,546,46,10,10,541.32,41.51
37,Tree - jenis belum teridentifikasi,35,560,39,567,45,8,7,562.83,42.0
38,Tree - jenis belum teridentifikasi,58,504,39,511,47,8,9,507.98,43.29
39,Tree - jenis belum teridentifikasi,95,1124,39,1135,48,12,10,1130.23,43.82
40,Tree - jenis belum teridentifikasi,193,1463,35,1476,51,14,17,1469.78,43.46
41,Tree - jenis belum teridentifikasi,35,650,43,659,47,10,5,654.71,44.86
42,Tree - jenis belum teridentifikasi,175,1281,31,1297,53,17,23,1288.35,41.82
43,Tree - jenis belum teridentifikasi,28,1804,46,1810,51,7,6,1806.54,49.25
44,Tree - jenis belum teridentifikasi,76,1655,44,1663,54,9,11,1659.71,49.21
45,Tree - jenis belum teridentifikasi,72,512,48,520,57,9,10,515.39,52.99
46,Tree - jenis belum teridentifikasi,334,1491,47,1515,74,25,28,1502.51,59.99
47,Tree - jenis belum teridentifikasi,317,1556,39,1577,63,22,25,1566.1,53.23
48,Tree - jenis belum teridentifikasi,36,498,53,504,59,7,7,500.72,56.0
49,Tree - jenis belum teridentifikasi,20,480,54,484,59,5,6,482.0,56.6
50,Tree - jenis belum teridentifikasi,54,1536,54,1549,61,14,8,1540.3,57.81
51,Tree - jenis belum teridentifikasi,44,1875,55,1883,63,9,9,1879.0,58.84
52,Tree - jenis belum teridentifikasi,80,414,53,425,63,12,11,419.77,58.56
53,Tree - jenis belum teridentifikasi,177,456,55,479,74,24,20,465.82,64.82
54,Tree - jenis belum teridentifikasi,559,1468,34,1495,72,28,39,1480.82,54.6
55,Tree - jenis belum teridentifikasi,464,1446,46,1471,78,26,33,1460.23,63.11
56,Tree - jenis belum teridentifikasi,613,2016,51,2047,82,32,32,2033.48,64.74
57,Tree - jenis belum teridentifikasi,48,691,65,696,74,6,10,693.17,69.08
58,Tree - jenis belum teridentifikasi,228,1312,55,1339,79,28,25,1327.54,68.14
59,Tree - jenis belum teridentifikasi,59,514,72,527,78,14,7,519.19,75.24
60,Tree - jenis belum teridentifikasi,55,712,70,720,78,9,9,716.13,74.49
