instance_id,tree_type,area_pixels,bbox_x,bbox_y,bbox_x2,bbox_y2,bbox_width,bbox_height,centroid_x,centroid_y
1,Tree - jenis belum teridentifikasi,1724,49,0,118,45,70,46,76.31,17.11
2,Tree - jenis belum teridentifikasi,1217,565,0,625,31,61,32,590.46,11.0
3,Tree - jenis belum teridentifikasi,1894,628,0,682,53,55,54,659.73,20.81
4,Tree - jenis belum teridentifikasi,952,853,0,909,24,57,25,882.09,9.13
5,Tree - jenis belum teridentifikasi,8,1569,10,1569,17,1,8,1569.0,13.5
6,Tree - jenis belum teridentifikasi,36,1591,10,1598,15,8,6,1593.64,12.14
7,Tree - jenis belum teridentifikasi,1796,1553,0,1661,30,109,31,1611.75,8.91
8,Tree - jenis belum teridentifikasi,259,1906,0,1934,13,29,14,1918.87,4.62
9,Tree - jenis belum teridentifikasi,287,2010,0,2030,23,21,24,2019.7,9.82
10,Tree - jenis belum teridentifikasi,30,16,9,21,15,6,7,18.0,12.2
11,Tree - jenis belum teridentifikasi,300,1418,0,1439,21,22,22,1429.33,8.86
12,Tree - jenis belum teridentifikasi,386,117,0,140,28,24,29,129.46,15.27
13,Tree - jenis belum teridentifikasi,518,91,8,116,41,26,34,102.85,24.17
14,Tree - jenis belum teridentifikasi,554,141,0,165,38,25,39,152.2,20.61
15,Tree - jenis belum teridentifikasi,1003,344,0,379,47,36,48,363.01,22.08
16,Tree - jenis belum teridentifikasi,372,1584,13,1607,38,24,26,1596.83,26.77
17,Tree - jenis belum teridentifikasi,1232,533,4,574,47,42,44,553.05,27.5
18,Tree - jenis belum teridentifikasi,1604,1922,3,1967,57,46,55,1946.48,30.48
19,Tree - jenis belum teridentifikasi,4905,559,4,648,91,90,88,609.17,50.52
20,Tree - jenis belum teridentifikasi,38,2018,33,2024,41,7,9,2021.16,36.21
21,Tree - jenis belum teridentifikasi,425,16,32,39,54,24,23,26.84,42.98
22,Tree - jenis belum teridentifikasi,893,1643,22,1677,59,35,38,1659.66,40.22
23,Tree - jenis belum teridentifikasi,266,905,34,921,54,17,21,913.04,43.87
24,Tree - jenis belum teridentifikasi,193,135,40,148,63,14,24,140.99,52.11
25,Tree - jenis belum teridentifikasi,446,1118,37,1140,64,23,28,1128.98,50.23
26,Tree - jenis belum teridentifikasi,868,1874,35,1914,72,41,38,1893.1,54.33
27,Tree - jenis belum teridentifikasi,643,95,40,127,71,33,32,108.85,57.46
28,Tree - jenis belum teridentifikasi,44,1968,59,1974,67,7,9,1970.86,63.41
29,Tree - jenis belum teridentifikasi,144,79,60,92,74,14,15,85.09,66.7
30,Tree - jenis belum teridentifikasi,913,1832,56,1873,93,42,38,1853.52,71.0
31,Tree - jenis belum teridentifikasi,1499,1976,37,2021,93,46,57,1999.07,66.97
32,Tree - jenis belum teridentifikasi,348,1871,68,1891,95,21,28,1881.19,79.55
33,Tree - jenis belum teridentifikasi,356,2020,67,2047,84,28,18,2033.16,75.58
34,Tree - jenis belum teridentifikasi,94,162,77,173,87,12,11,168.19,82.36
35,Tree - jenis belum teridentifikasi,268,26,77,46,97,21,21,36.2,85.87
36,Tree - jenis belum teridentifikasi,2076,856,57,918,111,63,55,882.52,84.37
