instance_id,tree_type,area_pixels,bbox_x,bbox_y,bbox_x2,bbox_y2,bbox_width,bbox_height,centroid_x,centroid_y
1,Tree - jenis belum teridentifikasi,1575,1127,0,1220,32,94,33,1163.26,10.32
2,Tree - jenis belum teridentifikasi,184,1268,0,1279,20,12,21,1274.66,8.08
3,Tree - jenis belum teridentifikasi,2327,1535,0,1585,80,51,81,1555.86,30.7
4,Tree - jenis belum teridentifikasi,306,495,0,511,29,17,30,504.78,17.42
5,Tree - jenis belum teridentifikasi,213,1222,17,1238,33,17,17,1229.94,24.46
6,Tree - jenis belum teridentifikasi,1868,1073,0,1117,69,45,70,1096.46,31.85
7,Tree - jenis belum teridentifikasi,240,1664,18,1679,39,16,22,1670.64,28.88
8,Tree - jenis belum teridentifikasi,1049,420,15,459,49,40,35,437.34,30.93
9,Tree - jenis belum teridentifikasi,3231,305,0,419,47,115,48,376.94,20.99
10,Tree - jenis belum teridentifikasi,70,506,30,511,46,6,17,509.24,39.14
11,Tree - jenis belum teridentifikasi,194,1126,40,1139,61,14,22,1132.16,48.31
12,Tree - jenis belum teridentifikasi,61,1677,42,1684,55,8,14,1680.41,48.59
13,Tree - jenis belum teridentifikasi,95,1416,44,1430,53,15,10,1422.04,47.87
14,Tree - jenis belum teridentifikasi,85,1497,45,1511,54,15,10,1504.87,49.73
15,Tree - jenis belum teridentifikasi,2913,434,23,511,80,78,58,472.06,54.67
16,Tree - jenis belum teridentifikasi,466,1351,45,1375,74,25,30,1363.69,55.72
17,Tree - jenis belum teridentifikasi,196,68,46,85,62,18,17,77.08,53.42
18,Tree - jenis belum teridentifikasi,164,87,49,102,63,16,15,94.57,56.39
19,Tree - jenis belum teridentifikasi,5121,1578,9,1663,92,86,84,1622.05,48.3
20,Tree - jenis belum teridentifikasi,840,1306,42,1349,74,44,33,1326.18,56.8
21,Tree - jenis belum teridentifikasi,831,703,42,736,79,34,38,719.82,61.04
22,Tree - jenis belum teridentifikasi,253,1567,45,1585,64,19,20,1576.07,54.89
23,Tree - jenis belum teridentifikasi,269,1518,46,1532,74,15,29,1524.94,61.73
24,Tree - jenis belum teridentifikasi,160,26,61,45,72,20,12,35.43,65.68
25,Tree - jenis belum teridentifikasi,397,1418,52,1442,79,25,28,1431.55,64.29
26,Tree - jenis belum teridentifikasi,108,46,64,63,72,18,9,54.72,67.94
27,Tree - jenis belum teridentifikasi,635,1368,45,1400,86,33,42,1384.66,66.31
28,Tree - jenis belum teridentifikasi,617,1432,46,1472,84,41,39,1452.7,66.59
29,Tree - jenis belum teridentifikasi,249,1485,62,1510,77,26,16,1498.15,69.77
30,Tree - jenis belum teridentifikasi,113,1562,60,1572,77,11,18,1566.96,68.63
31,Tree - jenis belum teridentifikasi,211,3,62,27,76,25,15,16.94,70.14
