instance_id,tree_type,area_pixels,bbox_x,bbox_y,bbox_x2,bbox_y2,bbox_width,bbox_height,centroid_x,centroid_y
1,Tree - jenis belum teridentifikasi,1896,346,0,399,46,54,47,370.63,19.86
2,Tree - jenis belum teridentifikasi,6768,776,0,893,84,118,85,838.54,31.37
3,Tree - jenis belum teridentifikasi,442,529,6,558,30,30,25,541.1,16.94
4,Tree - jenis belum teridentifikasi,94,30,17,43,25,14,9,36.15,20.63
5,Tree - jenis belum teridentifikasi,50,1059,25,1070,29,12,5,1064.92,27.0
6,Tree - jenis belum teridentifikasi,1858,235,5,291,63,57,59,265.81,29.87
7,Tree - jenis belum teridentifikasi,517,756,26,788,60,33,35,773.01,39.48
8,Tree - jenis belum teridentifikasi,336,1115,60,1135,80,21,21,1125.55,70.38
9,Tree - jenis belum teridentifikasi,290,843,90,858,113,16,24,851.06,102.02
10,Tree - jenis belum teridentifikasi,6350,756,48,840,163,85,116,799.46,101.42
11,Tree - jenis belum teridentifikasi,923,875,86,910,121,36,36,892.64,104.32
12,Tree - jenis belum teridentifikasi,486,864,109,889,134,26,26,874.73,123.05
13,Tree - jenis belum teridentifikasi,676,836,111,857,147,22,37,846.45,128.34
14,Tree - jenis belum teridentifikasi,132,409,181,423,195,15,15,416.37,187.65
15,Tree - jenis belum teridentifikasi,2493,930,161,1008,216,79,56,975.84,193.99
16,Tree - jenis belum teridentifikasi,189,612,197,627,212,16,16,619.35,204.25
17,Tree - jenis belum teridentifikasi,84,931,220,943,230,13,11,937.02,226.02
18,Tree - jenis belum teridentifikasi,266,601,222,623,238,23,17,613.14,229.41
19,Tree - jenis belum teridentifikasi,111,914,225,931,232,18,8,922.93,228.15
20,Tree - jenis belum teridentifikasi,402,522,218,547,242,26,25,532.01,229.42
21,Tree - jenis belum teridentifikasi,1382,481,219,521,271,41,53,504.16,242.67
22,Tree - jenis belum teridentifikasi,658,516,237,551,262,36,26,535.09,249.31
23,Tree - jenis belum teridentifikasi,6198,934,210,1033,298,100,89,986.08,254.78
24,Tree - jenis belum teridentifikasi,5421,1362,217,1450,304,89,88,1408.52,261.34
25,Tree - jenis belum teridentifikasi,4102,1129,221,1215,281,87,61,1174.63,254.4
26,Tree - jenis belum teridentifikasi,130,505,276,515,294,11,19,509.97,285.51
27,Tree - jenis belum teridentifikasi,3496,1126,280,1205,334,80,55,1164.22,304.36
28,Tree - jenis belum teridentifikasi,204,203,286,218,303,16,18,210.8,294.57
29,Tree - jenis belum teridentifikasi,606,525,263,549,306,25,44,537.41,286.21
30,Tree - jenis belum teridentifikasi,768,541,270,566,313,26,44,553.95,293.82
31,Tree - jenis belum teridentifikasi,182,509,295,521,316,13,22,513.27,305.8
32,Tree - jenis belum teridentifikasi,784,149,318,172,358,24,41,160.98,338.63
33,Tree - jenis belum teridentifikasi,1481,172,322,210,369,39,48,189.88,345.71
34,Tree - jenis belum teridentifikasi,109,673,354,681,371,9,18,676.54,362.38
35,Tree - jenis belum teridentifikasi,185,721,384,734,398,14,15,727.84,390.48
36,Tree - jenis belum teridentifikasi,609,768,432,798,458,31,27,783.39,445.59
37,Tree - jenis belum teridentifikasi,197,754,438,768,453,15,16,761.23,445.42
38,Tree - jenis belum teridentifikasi,2684,1485,440,1545,508,61,69,1513.82,472.73
39,Tree - jenis belum teridentifikasi,989,1549,453,1601,486,53,34,1579.25,469.21
40,Tree - jenis belum teridentifikasi,95,787,469,804,482,18,14,796.61,475.86
41,Tree - jenis belum teridentifikasi,30,722,474,726,481,5,8,724.23,477.9
42,Tree - jenis belum teridentifikasi,133,1681,474,1698,486,18,13,1690.87,478.17
43,Tree - jenis belum teridentifikasi,627,1544,471,1581,498,38,28,1562.02,485.72
44,Tree - jenis belum teridentifikasi,132,1664,485,1677,497,14,13,1670.42,491.14
45,Tree - jenis belum teridentifikasi,422,1098,482,1118,514,21,33,1109.24,500.09
46,Tree - jenis belum teridentifikasi,5028,1113,469,1200,565,88,97,1153.31,516.5
47,Tree - jenis belum teridentifikasi,2939,1554,490,1634,550,81,61,1587.26,522.15
48,Tree - jenis belum teridentifikasi,5484,1332,488,1411,582,80,95,1370.08,535.38
49,Tree - jenis belum teridentifikasi,180,1138,549,1148,570,11,22,1143.01,559.08
50,Tree - jenis belum teridentifikasi,4311,12,519,80,607,69,89,44.54,562.43
51,Tree - jenis belum teridentifikasi,7601,1813,541,1924,643,112,103,1869.4,600.35
52,Tree - jenis belum teridentifikasi,241,365,610,381,633,17,24,372.61,621.69
53,Tree - jenis belum teridentifikasi,9609,1470,573,1584,689,115,117,1524.93,628.49
54,Tree - jenis belum teridentifikasi,458,944,609,967,634,24,26,956.63,621.61
55,Tree - jenis belum teridentifikasi,3048,875,598,943,663,69,66,908.35,632.33
56,Tree - jenis belum teridentifikasi,815,839,611,868,649,30,39,852.94,630.67
57,Tree - jenis belum teridentifikasi,4840,296,579,370,685,75,107,329.32,639.85
58,Tree - jenis belum teridentifikasi,26,384,644,390,648,7,5,386.31,645.65
59,Tree - jenis belum teridentifikasi,57,753,644,762,650,10,7,756.93,647.02
60,Tree - jenis belum teridentifikasi,102,1073,644,1084,655,12,12,1078.63,649.31
61,Tree - jenis belum teridentifikasi,316,704,645,733,659,30,15,720.18,652.19
62,Tree - jenis belum teridentifikasi,1162,457,633,494,671,38,39,473.51,653.18
63,Tree - jenis belum teridentifikasi,1442,762,645,812,688,51,44,786.14,668.06
64,Tree - jenis belum teridentifikasi,50,700,670,709,681,10,12,703.96,675.42
65,Tree - jenis belum teridentifikasi,230,747,661,764,684,18,24,755.93,674.16
66,Tree - jenis belum teridentifikasi,68,535,676,544,685,10,10,539.66,680.49
67,Tree - jenis belum teridentifikasi,4688,129,654,225,740,97,87,177.68,692.09
68,Tree - jenis belum teridentifikasi,50,650,679,656,689,7,11,653.5,684.3
69,Tree - jenis belum teridentifikasi,457,1222,682,1246,706,25,25,1234.45,693.62
70,Tree - jenis belum teridentifikasi,7153,377,629,480,736,104,108,428.18,685.53
71,Tree - jenis belum teridentifikasi,98,696,693,715,701,20,9,703.63,697.09
72,Tree - jenis belum teridentifikasi,1260,746,680,798,711,53,32,769.3,697.72
73,Tree - jenis belum teridentifikasi,982,718,677,748,726,31,50,731.17,703.42
74,Tree - jenis belum teridentifikasi,2779,455,680,506,762,52,83,483.05,723.53
75,Tree - jenis belum teridentifikasi,402,697,702,720,728,24,27,710.06,716.01
76,Tree - jenis belum teridentifikasi,1688,741,711,799,750,59,40,772.23,728.18
77,Tree - jenis belum teridentifikasi,72,732,726,742,735,11,10,736.54,730.89
78,Tree - jenis belum teridentifikasi,1113,1962,726,2012,760,51,35,1986.94,741.71
79,Tree - jenis belum teridentifikasi,895,428,730,466,770,39,41,449.42,747.84
80,Tree - jenis belum teridentifikasi,5664,1569,706,1656,809,88,104,1605.95,753.52
81,Tree - jenis belum teridentifikasi,797,1887,734,1926,757,40,24,1907.35,745.48
82,Tree - jenis belum teridentifikasi,735,1992,739,2024,769,33,31,2009.97,755.32
83,Tree - jenis belum teridentifikasi,876,1469,742,1502,779,34,38,1485.24,762.27
84,Tree - jenis belum teridentifikasi,1293,1877,750,1924,797,48,48,1901.3,771.82
85,Tree - jenis belum teridentifikasi,987,1636,755,1669,792,34,38,1652.98,774.68
86,Tree - jenis belum teridentifikasi,1793,1414,741,1469,797,56,57,1445.63,771.81
87,Tree - jenis belum teridentifikasi,123,1219,789,1235,798,17,10,1226.89,793.2
88,Tree - jenis belum teridentifikasi,453,1793,805,1820,825,28,21,1806.51,815.39
89,Tree - jenis belum teridentifikasi,377,1431,812,1451,847,21,36,1440.06,827.96
90,Tree - jenis belum teridentifikasi,451,181,815,206,837,26,23,194.28,826.13
91,Tree - jenis belum teridentifikasi,108,1351,822,1371,830,21,9,1363.06,825.61
92,Tree - jenis belum teridentifikasi,1179,1468,810,1502,857,35,48,1485.57,830.75
93,Tree - jenis belum teridentifikasi,301,364,825,390,842,27,18,378.59,834.61
94,Tree - jenis belum teridentifikasi,1762,140,801,187,852,48,52,163.17,828.37
95,Tree - jenis belum teridentifikasi,96,652,837,663,846,12,10,658.2,841.69
96,Tree - jenis belum teridentifikasi,840,1131,830,1167,857,37,28,1150.18,843.89
97,Tree - jenis belum teridentifikasi,416,191,833,216,856,26,24,203.44,845.66
98,Tree - jenis belum teridentifikasi,280,1791,841,1809,861,19,21,1800.08,850.83
99,Tree - jenis belum teridentifikasi,60,462,854,471,861,10,8,466.93,857.82
100,Tree - jenis belum teridentifikasi,252,1739,853,1756,869,18,17,1747.92,862.08
101,Tree - jenis belum teridentifikasi,664,1134,857,1165,881,32,25,1149.29,868.17
102,Tree - jenis belum teridentifikasi,2453,1921,845,1978,901,58,57,1950.47,873.33
103,Tree - jenis belum teridentifikasi,3324,645,843,717,915,73,73,682.73,880.9
104,Tree - jenis belum teridentifikasi,929,1624,859,1663,895,40,37,1645.21,879.45
105,Tree - jenis belum teridentifikasi,552,1442,868,1468,895,27,28,1455.58,880.79
106,Tree - jenis belum teridentifikasi,3463,137,844,222,913,86,70,181.69,875.48
107,Tree - jenis belum teridentifikasi,1096,1721,870,1774,898,54,29,1744.62,884.19
108,Tree - jenis belum teridentifikasi,2177,126,879,192,938,67,60,156.34,908.98
109,Tree - jenis belum teridentifikasi,58,1708,896,1717,902,10,7,1712.29,899.29
110,Tree - jenis belum teridentifikasi,1069,1559,880,1587,934,29,55,1574.16,906.41
111,Tree - jenis belum teridentifikasi,3705,1494,889,1564,951,71,63,1528.56,920.95
112,Tree - jenis belum teridentifikasi,566,1584,904,1604,940,21,37,1593.03,922.92
113,Tree - jenis belum teridentifikasi,282,639,915,673,927,35,13,656.22,921.56
114,Tree - jenis belum teridentifikasi,1840,1741,887,1791,958,51,72,1769.79,921.44
115,Tree - jenis belum teridentifikasi,46,673,920,680,927,8,8,676.15,923.0
116,Tree - jenis belum teridentifikasi,96,755,918,765,929,11,12,760.17,923.06
117,Tree - jenis belum teridentifikasi,1874,1600,898,1650,950,51,53,1621.72,924.61
118,Tree - jenis belum teridentifikasi,463,612,898,640,939,29,42,625.3,923.19
119,Tree - jenis belum teridentifikasi,595,578,921,612,955,35,35,593.55,933.71
120,Tree - jenis belum teridentifikasi,508,624,929,662,956,39,28,642.85,942.87
121,Tree - jenis belum teridentifikasi,57,641,955,648,965,8,11,644.74,959.7
122,Tree - jenis belum teridentifikasi,98,660,957,667,975,8,19,664.0,965.01
123,Tree - jenis belum teridentifikasi,274,1566,961,1592,977,27,17,1580.98,969.46
124,Tree - jenis belum teridentifikasi,1784,1712,947,1765,993,54,47,1737.16,971.57
125,Tree - jenis belum teridentifikasi,1201,616,959,664,1012,49,54,641.24,985.37
126,Tree - jenis belum teridentifikasi,481,1587,975,1622,994,36,20,1606.06,983.3
